id,kanji,strokes,onreading,kunreading
279,関,14,kan,"seki, kaka(waru)"
280,歓,15,kan,-
281,監,15,kan,-
282,緩,15,kan,"yuru(i), yuru(yaka), yuru(mu), yuru(meru) "
283,憾,16,kan,-
284,還,16,kan,-
285,館,16,kan,yakata
286,環,17,kan,-
287,簡,18,kan,-
288,観,18,kan,-
289,韓,18,kan,-
290,艦,21,kan,-
291,鑑,23,kan,kanga(miru)
292,丸,3,gan,"maru, maru(i), maru(meru)"
293,含,7,gan,"fuku(mu), fuku(meru)"
294,岸,8,gan,kishi
295,岩,8,gan,iwa
296,玩,8,gan,-
297,眼,11,"gan, [gen]",manako
298,頑,13,gan,-
299,顔,18,gan,kao
300,願,19,gan,nega(u)
301,企,6,ki,kuwada(teru)
302,伎,6,ki,-
303,危,6,ki,"abu(nai), aya(ui), aya(bumu)"
304,机,6,ki,tsukue
305,気,6,"ki, 	ke",-
306,岐,7,ki,-
307,希,7,ki,-
308,忌,7,ki,"i(mu), i(mawashii)"
309,汽,7,ki,-
310,奇,8,ki,-
311,祈,8,ki,ino(ru)
312,季,8,ki,-
313,紀,9,ki,-
314,軌,9,ki,-
315,既,10,ki,sude(ni)
316,記,10,ki,shiru(su)
317,起,10,ki,"o(kiru), o(koru), o(kosu)"
318,飢,10,ki,u(eru)
319,鬼,10,ki,oni
320,帰,10,ki,"kae(ru), kae(su)"
321,基,11,ki,"moto, motoi"
322,寄,11,ki,"yo(ru), yo(seru)"
323,規,11,ki,-
324,亀,11,ki,kame
325,喜,12,ki,yoroko(bu)
326,幾,12,ki,iku
327,揮,12,ki,-
328,期,12,"ki, [go]",-
329,棋,12,ki,-
330,貴,12,ki,"tatto(i), tooto(i), tatto(bu), tooto(bu)"
331,棄,13,ki,-
332,毀,13,ki,-
333,旗,14,ki,hata
334,器,15,ki,utsuwa
335,畿,15,ki,-
336,輝,15,ki,kagaya(ku)
337,機,16,ki,hata
338,騎,18,ki,-
339,技,7,gi,waza
340,宜,8,gi,-
341,偽,11,gi,"itsuwa(ru), nise"
342,欺,12,gi,azamu(ku)
343,義,13,gi,-
344,疑,14,gi,utaga(u)
345,儀,15,gi,-
346,戯,15,gi,tawamu(reru)
347,擬,17,gi,-
348,犠,17,gi,-
349,議,20,gi,-
350,菊,11,kiku,-
351,吉,6,"kichi, 	kitsu",-
352,喫,12,kitsu,-
353,詰,13,kitsu,"tsu(meru), tsu(maru), tsu(mu)"
354,却,7,kyaku,-
355,客,9,"kyaku, 	kaku",-
356,脚,11,"kyaku, [kya]",ashi
357,逆,9,gyaku,"saka, saka(rau)"
358,虐,9,gyaku,shiita(geru)
359,九,2,"kyuu, 	ku","kokono, kokono(tsu)"
360,久,3,"kyuu, [ku]",hisa(shii)
361,及,3,kyuu,"oyo(bu), oyo(bi), oyo(bosu)"
362,弓,3,kyuu,yumi
363,丘,5,kyuu,oka
364,旧,5,kyuu,-
365,休,6,kyuu,"yasu(mu), yasu(maru), yasu(meru)"
366,吸,6,kyuu,su(u)
367,朽,6,kyuu,ku(chiru)
368,臼,6,kyuu,usu
369,求,7,kyuu,moto(meru)
370,究,7,kyuu,kiwa(meru)
371,泣,8,kyuu,na(ku)
372,急,9,kyuu,iso(gu)
373,級,9,kyuu,-
374,糾,9,kyuu,-
375,宮,10,"kyuu, guu, [ku]",miya
376,救,11,kyuu,suku(u)
377,球,11,kyuu,tama
378,給,12,kyuu,-
379,嗅,13,kyuu,ka(gu)
380,窮,15,kyuu,"kiwa(meru), kiwa(maru)"
381,牛,4,gyuu,ushi
382,去,5,"kyo, 	ko",sa(ru)
383,巨,5,kyo,-
384,居,8,kyo,i(ru)
385,拒,8,kyo,koba(mu)
386,拠,8,"kyo, 	ko",-
387,挙,10,kyo,"a(geru), a(garu)"
388,虚,11,"kyo, [ko]",-
389,許,11,kyo,yuru(su)
390,距,12,kyo,-
391,魚,11,gyo,"uo, sakana"
392,御,12,"gyo, 	go",on
393,漁,14,"gyo, 	ryoo",-
394,凶,4,kyoo,-
395,共,6,kyoo,tomo
396,叫,6,kyoo,sake(bu)
397,狂,7,kyoo,"kuru(u), kuru(oshii)"
398,京,8,"kyoo, 	kei",-
399,享,8,kyoo,-
400,供,8,"kyoo, [ku]","sona(eru), tomo"
401,協,8,kyoo,-
402,況,8,kyoo,-
403,峡,9,kyoo,-
404,挟,9,kyoo,"hasa(mu), hasa(maru)"
405,狭,9,kyoo,"sema(i), saba(meru), seba(maru)"
406,恐,10,kyoo,"oso(reru), oso(roshii)"
407,恭,10,kyoo,uyauya(shii)
408,胸,10,kyoo,"mune, [muna]"
409,脅,10,kyoo,"obiya(kasu), odo(su), odo(kasu)"
410,強,11,"kyoo, 	goo","tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)"
411,教,11,kyoo,"oshi(eru), oso(waru)"
412,郷,11,"kyoo, 	goo",-
413,境,14,"kyoo, [kei]",sakai
414,橋,16,kyoo,hashi
415,矯,17,kyoo,ta(meru)
416,鏡,19,kyoo,kagami
417,競,20,"kyoo, 	kei","kiso(u), se(ru)"
418,響,20,kyoo,hibi(ku)
419,驚,22,kyoo,"odoro(ku), odoro(kasu)"
420,仰,6,"gyoo, [koo]","ao(gu), oo(se)"
421,暁,12,gyoo,akatsuki
422,業,13,"gyoo, 	goo",waza
423,凝,16,gyoo,"ko(ru), ko(rasu)"
424,曲,6,kyoku,"ma(garu), ma(geru)"
425,局,7,kyoku,-
426,極,12,"kyoku, 	goku","kiwa(meru), kiwa(maru), kiwa(mi)"
427,玉,5,gyoku,tama
428,巾,3,kin,-
429,斤,4,kin,-
430,均,7,kin,-
431,近,7,kin,chika(i)
432,金,8,"kin, 	kon","kane, [kana]"
433,菌,11,kin,-
434,勤,12,"kin, [gon]","tsuto(meru), tsuto(maru)"
435,琴,12,kin,koto
436,筋,12,kin,suji
437,僅,13,kin,wazu(ka)
438,禁,13,kin,-
439,緊,15,kin,-
440,錦,16,kin,nishiki
441,謹,17,kin,tsutsushi(mu)
442,襟,18,kin,eri
443,吟,7,gin,-
444,銀,14,gin,-
445,区,4,ku,-
446,句,5,ku,-
447,苦,8,ku,"kuru(shii), kuru(shimu), kuru(shimeru), niga(i), niga(ru)"
448,駆,14,ku,"ka(keru), ka(ru)"
449,具,8,gu,-
450,惧,11,gu,-
451,愚,13,gu,oro(ka)
452,空,8,kuu,"sora, a(ku), a(keru), kara"
453,偶,11,guu,-
454,遇,12,guu,-
455,隅,12,guu,sumi
456,串,7,-,kushi
457,屈,8,kutsu,-
458,掘,11,kutsu,ho(ru)
459,窟,13,kutsu,-
460,熊,14,-,kuma
461,繰,19,-,ku(ru)
462,君,7,kun,kimi
463,訓,10,kun,-
464,勲,15,kun,-
465,薫,16,kun,kao(ru)
466,軍,9,gun,-
467,郡,10,gun,-
468,群,13,gun,"mu(reru), mu(re), [mura]"
469,兄,5,"kei, [kyoo]",ani
470,刑,6,kei,-
471,形,7,"kei, 	gyoo","kata, katachi"
472,系,7,kei,-
473,径,8,kei,-
474,茎,8,kei,kuki
475,係,9,kei,"kaka(ru), kakari"
476,型,9,kei,kata
477,契,9,kei,chigi(ru)
478,計,9,kei,"haka(ru), haka(rau)"
479,恵,10,"kei, 	e",megu(mu)
480,啓,11,kei,-
481,掲,11,kei,kaka(geru)
482,渓,11,kei,-
483,経,11,"kei, 	kyoo",he(ru)
484,蛍,11,kei,hotaru
485,敬,12,kei,uyama(u)
486,景,12,kei,-
487,軽,12,kei,"karu(i), karo(yaka)"
488,傾,13,kei,"katamu(ku), katamu(keru)"
489,携,13,kei,"tazusa(eru), tazusa(waru)"
