id,kanji,strokes,onreading,kunreading
1581,肉,6,niku,-
1582,虹,9,-,niji
1583,日,4,"nichi, 	jitsu","hi, ka"
1584,入,2,nyuu,"i(ru), i(reru), hai(ru)"
1585,乳,8,nyuu,"chichi, chi"
1586,尿,7,nyoo,-
1587,任,6,nin,"maka(seru), maka(su)"
1588,妊,7,nin,-
1589,忍,7,nin,"shino(bu), shino(baseru)"
1590,認,14,nin,mito(meru)
1591,寧,14,nei,-
1592,熱,15,netsu,atsu(i)
1593,年,6,nen,toshi
1594,念,8,nen,-
1595,捻,11,nen,-
1596,粘,11,nen,neba(ru)
1597,燃,16,nen,"mo(eru), mo(yasu), mo(su)"
1598,悩,10,noo,"naya(mu), naya(masu)"
1599,納,10,"noo, [naQ], [na], [nan], [too]","osa(meru), osa(maru)"
1600,能,10,noo,-
1601,脳,11,noo,-
1602,農,13,noo,-
1603,濃,16,noo,ko(i)
1604,把,7,ha,-
1605,波,8,ha,nami
1606,派,9,ha,-
1607,破,10,ha,"yabu(ru), yabu(reru)"
1608,覇,19,ha,-
1609,馬,10,ba,"uma, [ma]"
1610,婆,11,ba,-
1611,罵,15,ba,nonoshi(ru)
1612,拝,8,hai,oga(mu)
1613,杯,8,hai,sakazuki
1614,背,9,hai,"se, sei, somu(ku), somu(keru)"
1615,肺,9,hai,-
1616,俳,10,hai,-
1617,配,10,hai,kuba(ru)
1618,排,11,hai,-
1619,敗,11,hai,yabu(reru)
1620,廃,12,hai,"suta(reru), suta(ru)"
1621,輩,15,hai,-
1622,売,7,bai,"u(ru), u(reru)"
1623,倍,10,bai,-
1624,梅,10,bai,ume
1625,培,11,bai,tsuchika(u)
1626,陪,11,bai,-
1627,媒,12,bai,-
1628,買,12,bai,ka(u)
1629,賠,15,bai,-
1630,白,5,"haku, 	byaku","shiro, [shira], shiro(i)"
1631,伯,7,haku,-
1632,拍,8,"haku, [hyoo]",-
1633,泊,8,haku,"to(maru), to(meru)"
1634,迫,8,haku,sema(ru)
1635,剥,10,haku,"ha(gasu), ha(gu), ha(gareru), ha(geru)"
1636,舶,11,haku,-
1637,博,12,"haku, [baku]",-
1638,薄,16,haku,"usu(i), usu(meru), usu(maru), usu(ragu), usu(reru)"
1639,麦,7,baku,mugi
1640,漠,13,baku,-
1641,縛,16,baku,shiba(ru)
1642,爆,19,baku,-
1643,箱,15,-,hako
1644,箸,15,-,hashi
1645,畑,9,-,"hata, hatake"
1646,肌,6,-,hada
1647,八,2,hachi,"ya, ya(tsu), yat(tsu), [yoo]"
1648,鉢,13,"[hatsu], 	hachi",-
1649,発,9,"hatsu, 	hotsu",-
1650,髪,14,hatsu,kami
1651,伐,6,batsu,-
1652,抜,7,batsu,"nu(ku), nu(keru), nu(kasu), nu(karu)"
1653,罰,14,"batsu, 	bachi",-
1654,閥,14,batsu,-
1655,反,4,"han, [hon], [tan]","so(ru), so(rasu)"
1656,半,5,han,naka(ba)
1657,氾,5,han,-
1658,犯,5,han,oka(su)
1659,帆,6,han,ho
1660,汎,6,han,-
1661,伴,7,"han, 	ban",tomona(u)
1662,判,7,"han, 	ban",-
1663,坂,7,han,saka
1664,阪,7,han,-
1665,板,8,"han, 	ban",ita
1666,版,8,han,-
1667,班,10,han,-
1668,畔,10,han,-
1669,般,10,han,-
1670,販,11,han,-
1671,斑,12,han,-
1672,飯,12,han,meshi
1673,搬,13,han,-
1674,煩,13,"han, [bon]","wazura(u), wazura(wasu)"
1675,頒,13,han,-
1676,範,15,han,-
1677,繁,16,han,-
1678,藩,18,han,-
1679,晩,12,ban,-
1680,番,12,ban,-
1681,蛮,12,ban,-
1682,盤,15,ban,-
1683,比,4,hi,kura(beru)
1684,皮,5,hi,kawa
1685,妃,6,hi,-
1686,否,7,hi,ina
1687,批,7,hi,-
1688,彼,8,hi,"kare, [kano]"
1689,披,8,hi,-
1690,肥,8,hi,"ko(eru), koe,ko(yasu), ko(yashi)"
1691,非,8,hi,-
1692,卑,9,hi,"iya(shii), iya(shimu), iya(shimeru)"
1693,飛,9,hi,"to(bu), to(basu)"
1694,疲,10,hi,tsuka(reru)
1695,秘,10,hi,hi(meru)
1696,被,10,hi,koomu(ru)
1697,悲,12,hi,"kana(shii), kana(shimu)"
1698,扉,12,hi,tobira
1699,費,12,hi,"tsui(yasu), tsui(eru)"
1700,碑,14,hi,-
1701,罷,15,hi,-
1702,避,16,hi,sa(keru)
1703,尾,7,bi,o
1704,眉,9,"bi, [mi]",mayu
1705,美,9,bi,utsuku(shii)
1706,備,12,bi,"sona(eru), sona(waru)"
1707,微,13,bi,-
1708,鼻,14,bi,hana
1709,膝,15,-,hiza
1710,肘,7,-,hiji
1711,匹,4,hitsu,hiki
1712,必,5,hitsu,kanara(zu)
1713,泌,8,"hitsu, 	hi",-
1714,筆,12,hitsu,fude
1715,姫,10,-,hime
1716,百,6,hyaku,-
1717,氷,5,hyoo,"koori, hi"
1718,表,8,hyoo,"omote, arawa(su), arawa(reru)"
1719,俵,10,hyoo,tawara
1720,票,11,hyoo,-
1721,評,12,hyoo,-
1722,漂,14,hyoo,tadayo(u)
1723,標,15,hyoo,-
1724,苗,8,byoo,"nae, [nawa]"
1725,秒,9,byoo,-
1726,病,10,"byoo, [hei]","ya(mu), yamai"
1727,描,11,byoo,"ega(ku), ka(ku)"
1728,猫,11,byoo,neko
1729,品,9,hin,shina
1730,浜,10,hin,hama
1731,貧,11,"hin, 	bin",mazu(shii)
1732,賓,15,hin,-
1733,頻,17,hin,-
1734,敏,10,bin,-
1735,瓶,11,bin,-
1736,不,4,"fu, 	bu",-
1737,夫,4,"fu, [fuu]",otto
1738,父,4,fu,chichi
1739,付,5,fu,"tsu(keru), tsu(ku)"
1740,布,5,fu,nuno
1741,扶,7,fu,-
1742,府,8,fu,-
1743,怖,8,fu,kowa(i)
1744,阜,8,[fu],-
1745,附,8,fu,-
1746,訃,9,fu,-
1747,負,9,fu,"ma(keru), ma(kasu), o(u)"
1748,赴,9,fu,omomu(ku)
1749,浮,10,fu,"u(ku), u(kareru), u(kabu), u(kaberu)"
1750,婦,11,fu,-
1751,符,11,fu,-
1752,富,12,"fu, [fuu]","to(mu), tomi"
1753,普,12,fu,-
1754,腐,14,fu,"kusa(ru), kusa(reru), kusa(rasu)"
1755,敷,15,fu,shi(ku)
1756,膚,15,fu,-
1757,賦,15,fu,-
1758,譜,19,fu,-
1759,侮,8,bu,anado(ru)
1760,武,8,"bu, 	mu",-
1761,部,11,bu,-
1762,舞,15,bu,"ma(u), mai"
1763,封,9,"fuu, 	hoo",-
1764,風,9,"fuu, [fu]","kaze, [kaza]"
1765,伏,6,fuku,"fu(seru), fu(su)"
1766,服,8,fuku,-
1767,副,11,fuku,-
1768,幅,12,fuku,haba
1769,復,12,fuku,-
1770,福,13,fuku,-
1771,腹,13,fuku,hara
1772,複,14,fuku,-
1773,覆,18,fuku,"oo(u), kutsugae(su), kutsugae(ru)"
1774,払,5,futsu,hara(u)
1775,沸,8,futsu,"wa(ku), wa(kasu)"
1776,仏,4,butsu,hotoke
1777,物,8,"butsu, 	motsu",mono
1778,粉,10,fun,"ko,kona"
1779,紛,10,fun,"magi(reru), magi(rasu), magi(rawasu), magi(rawashii)"
1780,雰,12,fun,-
1781,噴,15,fun,fu(ku)
1782,墳,15,fun,-
1783,憤,15,fun,ikidoo(ru)
1784,奮,16,fun,furu(u)
1785,分,4,"bun, fun, bu","wa(keru), wa(kareru), wa(karu), wa(katsu)"
1786,文,4,"bun, 	mon",fumi
1787,聞,14,"bun, 	mon","ki(ku), ki(koeru)"
1788,丙,5,hei,-
1789,平,5,"hei, 	byoo","tai(ra), hira"
1790,兵,7,"hei, 	hyoo",-
1791,併,8,hei,awa(seru)
1792,並,8,hei,"nami, mara(beru), nara(bu), nara(bini)"
1793,柄,9,hei,"gara, e"
1794,陛,10,hei,-
1795,閉,11,hei,"to(jiru), to(zasu), shi(meru), shi(maru)"
1796,塀,12,hei,-
1797,幣,15,hei,-
1798,弊,15,hei,-
1799,蔽,15,hei,-
1800,餅,15,hei,mochi
1801,米,6,"bei, 	mai",kome
1802,壁,16,heki,kabe
1803,璧,18,heki,-
1804,癖,18,heki,kuse
1805,別,7,betsu,waka(reru)
1806,蔑,14,betsu,sagesu(mu)
1807,片,4,hen,kata
1808,辺,5,hen,"ata(ri), be"
1809,返,7,hen,"kae(su), kae(ru)"
1810,変,9,hen,"ka(waru), ka(eru)"
1811,偏,11,hen,katayo(ru)
1812,遍,12,hen,-
1813,編,15,hen,a(mu)
1814,弁,5,ben,-
1815,便,9,"ben, 	bin",tayo(ri)
1816,勉,10,ben,-
1817,歩,8,"ho, bu, [fu]","aru(ku), ayu(mu)"
1818,保,9,ho,tamo(tsu)
1819,哺,10,ho,-
1820,捕,10,ho,"to(raeru), to(rawareru), to(ru), tsuka(maeru), tsuka(maru)"
1821,補,12,ho,ogina(u)
1822,舗,15,ho,-
1823,母,5,bo,haha
1824,募,12,bo,tsuno(ru)
1825,墓,13,bo,haka
1826,慕,14,bo,shita(u)
1827,暮,14,bo,"ku(reru), ku(rasu)"
1828,簿,19,bo,-
1829,方,4,hoo,kata
1830,包,5,hoo,tsutsu(mu)
1831,芳,7,hoo,kanba(shii)
1832,邦,7,hoo,-
1833,奉,8,"hoo, [bu]",tatematsu(ru)
1834,宝,8,hoo,takara
1835,抱,8,hoo,"da(ku), ida(ku), kaka(eru)"
1836,放,8,hoo,"hana(su), hana(tsu), hana(reru), hoo(ru)"
1837,法,8,"hoo, [haQ], [hoQ]",-
1838,泡,8,hoo,awa
1839,胞,9,hoo,-
1840,俸,10,hoo,-
1841,倣,10,hoo,nara(u)
1842,峰,10,hoo,mine
1843,砲,10,hoo,-
1844,崩,11,hoo,"kuzu(reru), kuzu(su)"
1845,訪,11,hoo,"otozu(reru), tazu(neru)"
1846,報,12,hoo,muku(iru)
1847,蜂,13,hoo,hachi
1848,豊,13,hoo,yuta(ka)
1849,飽,13,hoo,"a(kiru), a(kasu)"
1850,褒,15,hoo,ho(meru)
1851,縫,16,hoo,nu(u)
1852,亡,3,"boo, [moo]",na(-i)
1853,乏,4,boo,tobo(shii)
1854,忙,6,boo,isoga(shii)
1855,坊,7,"boo, [boQ]",-
1856,妨,7,boo,samata(geru)
1857,忘,7,boo,wasu(reru)
1858,防,7,boo,fuse(gu)
1859,房,8,boo,fusa
1860,肪,8,boo,-
1861,某,9,boo,-
1862,冒,9,boo,oka(su)
1863,剖,10,boo,-
1864,紡,10,boo,tsumu(gu)
1865,望,11,"boo, 	moo",nozo(mu)
1866,傍,12,boo,katawa(ra)
1867,帽,12,boo,-
1868,棒,12,boo,-
1869,貿,12,boo,-
1870,貌,14,boo,-
1871,暴,15,"boo, [baku]","aba(ku), aba(reru)"
1872,膨,16,boo,"fuku(ramu), fuku(reru)"
1873,謀,16,"boo, [mu]",haka(ru)
1874,頬,16,hoo,-
1875,北,5,hoku,kita
1876,木,4,"boku, 	moku","ki, [ko]"
1877,朴,6,boku,-
1878,牧,8,boku,maki
1879,睦,13,boku,-
1880,僕,14,boku,-
1881,墨,14,boku,sumi
1882,撲,15,boku,-
1883,没,7,botsu,-
1884,勃,9,botsu,-
1885,堀,11,-,hori
1886,本,5,hon,moto
1887,奔,8,hon,-
1888,翻,18,hon,"hirugae(ru), hirugae(su)"
1889,凡,3,"bon, [han]",-
1890,盆,9,bon,-
1891,麻,11,ma,asa
1892,摩,15,ma,-
1893,磨,16,ma,miga(ku)
1894,魔,21,ma,-
1895,毎,6,mai,-
1896,妹,8,mai,imooto
1897,枚,8,mai,-
1898,昧,9,mai,-
1899,埋,10,mai,"u(meru), u(maru), u(moreru)"
1900,幕,13,"maku, 	baku",-
1901,膜,14,maku,-
1902,枕,8,-,makura
1903,又,2,-,mata
1904,末,5,"matsu, 	batsu",sue
1905,抹,8,matsu,-
1906,万,3,"man, 	ban",-
1907,満,12,man,"mi(chiru), mi(tasu)"
1908,慢,14,man,-
1909,漫,14,man,-
1910,未,5,mi,-
1911,味,8,mi,"aji, aji(wau)"
1912,魅,15,mi,-
1913,岬,8,-,misaki
1914,密,11,mitsu,-
1915,蜜,14,mitsu,-
1916,脈,10,myaku,-
1917,妙,7,myoo,-
1918,民,5,min,tami
1919,眠,10,min,"nemu(ru), nemu(i)"
1920,矛,5,mu,hoko
1921,務,11,mu,"tsuto(meru), tsuto(maru)"
1922,無,12,"mu, 	bu",na(i)
1923,夢,13,mu,yume
1924,霧,19,mu,kiri
1925,娘,10,-,musume
1926,名,6,"mei, 	myoo",na
1927,命,8,"mei, 	myoo",inochi
1928,明,8,"mei, 	myoo","a(kari), aka(rui), aka(rumu), aka(ramu), aki(raka), a(keru), a(ku), a(kuru), a(kasu)"
1929,迷,9,mei,mayo(u)
1930,冥,10,"mei, myoo",-
1931,盟,13,mei,-
1932,銘,14,mei,-
1933,鳴,14,mei,"na(ku), na(ru), na(rasu)"
1934,滅,13,metsu,"horo(biru), horo(bosu)"
1935,免,8,men,manuka(reru)
1936,面,9,men,"omo, omote, tsura"
1937,綿,14,men,wata
1938,麺,16,men,-
1939,茂,8,mo,shige(ru)
1940,模,14,"mo, 	bo",-
1941,毛,4,moo,ke
1942,妄,6,"moo, 	boo",-
1943,盲,8,moo,-
1944,耗,10,"moo, [koo]",-
1945,猛,11,moo,-
1946,網,14,moo,ami
1947,目,5,"moku, [boku]","me, [ma]"
1948,黙,15,moku,dama(ru)
1949,門,8,mon,kado
1950,紋,10,mon,-
1951,問,11,mon,"to(u), to(i), [ton]"
1952,冶,7,ya,-
1953,夜,8,ya,"yo, yoru"
1954,野,11,ya,no
1955,弥,8,-,ya
1956,厄,4,yaku,-
1957,役,7,"eki, 	yaku",-
1958,約,9,yaku,-
1959,訳,11,yaku,wake
1960,薬,16,yaku,kusuri
1961,躍,21,yaku,odo(ru)
1962,闇,17,-,yami
1963,由,5,"yu, yuu, [yui]",yoshi
1964,油,8,yu,abura
1965,喩,12,yu,-
1966,愉,12,yu,-
1967,諭,16,yu,sato(su)
1968,輸,16,yu,-
1969,癒,18,yu,"i(eru), i(yasu)"
1970,唯,11,"yui, [i]",-
1971,友,4,yuu,tomo
1972,有,6,"yuu, 	u",a(ru)
1973,勇,9,yuu,isa(mu)
1974,幽,9,yuu,-
1975,悠,11,yuu,-
1976,郵,11,yuu,-
1977,湧,12,yuu,wa(ku)
1978,猶,12,yuu,-
1979,裕,12,yuu,-
1980,遊,12,"yuu, [yu]",aso(bu)
1981,雄,12,yuu,"o, osu"
1982,誘,14,yuu,saso(u)
1983,憂,15,yuu,"ure(eru), ure(i), u(i)"
1984,融,16,yuu,-
1985,優,17,yuu,"yasa(shii), sugu(reru)"
1986,与,3,yo,ata(eru)
1987,予,4,yo,-
1988,余,7,yo,"ama(ru), ama(su)"
1989,誉,13,yo,homa(re)
1990,預,13,yo,"azu(keru), azu(karu)"
1991,幼,5,yoo,osana(i)
1992,用,5,yoo,mochi(iru)
1993,羊,6,yoo,hitsuji
1994,妖,7,yoo,aya(shii)
1995,洋,9,yoo,-
1996,要,9,yoo,"kaname, i(ru)"
1997,容,10,yoo,-
1998,庸,11,yoo,-
1999,揚,12,yoo,"a(geru), a(garu)"
2000,揺,12,yoo,"yu(reru), yu(ru), yu(ragu), yu(rugu), yu(suru), yu(saburu), yu(suburu)"
2001,葉,12,yoo,ha
2002,陽,12,yoo,-
2003,溶,13,yoo,"to(keru), to(kasu), to(ku)"
2004,腰,13,yoo,koshi
2005,様,14,yoo,sama
2006,瘍,14,yoo,-
2007,踊,14,yoo,"odo(ru), odo(ri)"
2008,窯,15,yoo,kama
2009,養,15,yoo,yashina(u)
2010,擁,16,yoo,-
2011,謡,16,yoo,"utai, uta(u)"
2012,曜,18,yoo,-
2013,抑,7,yoku,osa(eru)
2014,沃,7,yoku,-
2015,浴,10,yoku,"a(biru), a(biseru)"
2016,欲,11,yoku,"hos(suru), ho(shii)"
2017,翌,11,yoku,-
2018,翼,17,yoku,tsubasa
2019,拉,8,ra,-
2020,裸,13,ra,hadaka
2021,羅,19,ra,-
2022,来,7,rai,"ku(ru), kita(ru), kita(su)"
2023,雷,13,rai,kaminari
2024,頼,16,rai,"tano(mu), tano(moshii), tayo(ru)"
2025,絡,12,raku,"kara(mu), kara(maru), kara(meru)"
2026,落,12,raku,"o(chiru), o(tosu)"
2027,酪,13,raku,-
2028,辣,14,ratsu,-
2029,乱,7,ran,"mida(reru), mida(su)"
2030,卵,7,ran,tamago
2031,覧,17,ran,-
2032,濫,18,ran,-
2033,藍,18,ran,ai
2034,欄,20,ran,-
2035,吏,6,ri,-
2036,利,7,ri,ki(ku)
2037,里,7,ri,sato
2038,理,11,ri,-
2039,痢,12,ri,-
2040,裏,13,ri,ura
2041,履,15,ri,ha(ku)
2042,璃,15,ri,-
2043,離,19,ri,"hana(reru), hana(su)"
2044,陸,11,riku,-
2045,立,5,"ritsu, [ryuu]","ta(tsu), ta(teru)"
2046,律,9,"ritsu, [richi]",-
2047,慄,13,ritsu,-
2048,略,11,ryaku,-
2049,柳,9,ryuu,yanagi
2050,流,10,"ryuu, [ru]","naga(reru), naga(su)"
2051,留,10,"ryuu, [ru]","to(meru), to(maru)"
2052,竜,10,ryuu,tatsu
2053,粒,11,ryuu,tsubu
2054,隆,11,ryuu,-
2055,硫,12,ryuu,-
2056,侶,9,ryo,-
2057,旅,10,ryo,tabi
2058,虜,13,ryo,-
2059,慮,15,ryo,-
2060,了,2,ryoo,-
2061,両,6,ryoo,-
2062,良,7,ryoo,yo(i)
2063,料,10,ryoo,-
2064,涼,11,ryoo,"suzu(shii), suzu(mu)"
2065,猟,11,ryoo,-
2066,陵,11,ryoo,misasagi
2067,量,12,ryoo,haka(ru)
2068,僚,14,ryoo,-
2069,領,14,ryoo,-
2070,寮,15,ryoo,-
2071,療,17,ryoo,-
2072,瞭,17,ryoo,-
2073,糧,18,"ryoo, [roo]",kate
2074,力,2,"ryoku, 	riki",chikara
2075,緑,14,"ryoku, [roku]",midori
2076,林,8,rin,hayashi
2077,厘,9,rin,-
2078,倫,10,rin,-
2079,輪,15,rin,wa
2080,隣,16,rin,"tona(ru), tonari"
2081,臨,18,rin,nozo(mu)
2082,瑠,14,ru,-
2083,涙,10,rui,namida
2084,累,11,rui,-
2085,塁,12,rui,-
2086,類,18,rui,tagu(i)
2087,令,5,rei,-
2088,礼,5,"rei, 	rai",-
2089,冷,7,rei,"tsume(tai), hi(eru), hi(ya), hi(yasu), hi(yakasu), sa(meru), sa(masu)"
2090,励,7,rei,"hage(mu), hage(masu)"
2091,戻,7,rei,"modo(ru), modo(su)"
2092,例,8,rei,tato(eru)
2093,鈴,13,"rei, 	rin",suzu
2094,零,13,rei,-
2095,霊,15,"rei, 	ryoo",tama
2096,隷,16,rei,-
2097,齢,17,rei,-
2098,麗,19,rei,uruwa(shii)
2099,暦,14,reki,koyomi
2100,歴,14,reki,-
2101,列,6,retsu,-
2102,劣,6,retsu,oto(ru)
2103,烈,10,retsu,-
2104,裂,12,retsu,"sa(ku), sa(keru)"
2105,恋,10,ren,"ko(u), koi, koi(shii)"
2106,連,10,ren,"tsura(naru), tsura(neru), tsu(reru)"
2107,廉,13,ren,-
2108,練,14,ren,ne(ru)
2109,錬,16,ren,-
2110,呂,7,ro,-
2111,炉,8,ro,-
2112,賂,13,ro,-
2113,路,13,ro,ji
2114,露,21,"ro, [roo]",tsuyu
2115,老,6,roo,"o(iru), fu(keru)"
2116,労,7,roo,-
2117,弄,7,roo,moteaso(bu)
2118,郎,9,roo,-
2119,朗,10,roo,hoga(raka)
2120,浪,10,roo,-
2121,廊,12,roo,-
2122,楼,13,roo,-
2123,漏,14,roo,"mo(ru), mo(reru), mo(rasu)"
2124,籠,22,roo,"kago, ko(moru)"
2125,六,4,roku,"mu, mu(tsu), mut(tsu), [mui]"
2126,録,16,roku,-
2127,麓,19,roku,fumoto
2128,論,15,ron,-
2129,和,8,"wa, [o]","yawa(ragu), yawa(rageru), nago(mu), nago(yaka)"
2130,話,13,wa,"hana(su), hanashi"
2131,賄,13,wai,makana(u)
2132,脇,10,-,waki
2133,惑,12,waku,mado(u)
2134,枠,8,-,waku
2135,湾,12,wan,-
2136,腕,12,wan,ude
